,fbus,tbus,r,x,b,rateA,rateB,rateC,ratio,angle,status,angmin,angmax
0,35,36,0.0157048256741581,0.0010689935743038,0,37.84531014537997,0,0,0,0,1,0,0
1,2,1,0.0004417997183913,0.0002862862183602,0,87.64177086298518,0,0,0,0,1,0,0
2,7,6,0.0032944015190646,0.0007762250740011,0,87.64177086298518,0,0,0,0,1,0,0
3,63,64,0.0092948123048287,0.0012470419957195,0,55.772036003717844,0,0,0,0,1,0,0
4,26,27,0.0069633641375649,0.0009342423737292,0,55.772036003717844,0,0,0,0,1,0,0
5,26,28,0.0131255824707354,0.0030926425226843,0,87.64177086298518,0,0,0,0,1,0,0
6,51,52,0.0082379473592379,0.0005607392896419,0,37.84531014537997,0,0,0,0,1,0,0
7,5,6,0.0081820948615425,0.0019278606911244,0,87.64177086298518,0,0,0,0,1,0,0
8,33,34,0.0026916326830526,0.0006342010123828,0,87.64177086298518,0,0,0,0,1,0,0
9,31,1,0.0004331346797734,0.0002806712733193,0,87.64177086298518,0,0,0,0,1,0,0
10,66,67,0.0237353883169854,0.0029082262575734,0,55.772036003717844,0,0,0,0,1,0,0
11,65,66,0.0097877172177561,0.001199259764965,0,55.772036003717844,0,0,0,0,1,0,0
12,43,44,0.0049790115800492,0.0011731519700348,0,87.64177086298518,0,0,0,0,1,0,0
13,79,80,0.0079263345884196,0.0020311232382825,0,87.64177086298518,0,0,0,0,1,0,0
14,55,54,0.0297910292299004,0.0072018632663907,0,37.84531014537997,0,0,0,0,1,0,0
15,35,34,0.0067920698067126,0.0016003437522192,0,87.64177086298518,0,0,0,0,1,0,0
16,14,6,0.0420746913159294,0.0028639333916043,0,37.84531014537997,0,0,0,0,1,0,0
17,5,4,0.0239415952539136,0.0056411055058497,0,87.64177086298518,0,0,0,0,1,0,0
18,63,62,0.0035271171027181,0.000831057391828,0,87.64177086298518,0,0,0,0,1,0,0
19,35,37,0.0075411365713098,0.0017768384513069,0,87.64177086298518,0,0,0,0,1,0,0
20,38,39,0.0136786523106649,0.0009310763282968,0,37.84531014537997,0,0,0,0,1,0,0
21,7,8,0.0066216991931593,0.0008884027677032,0,55.772036003717844,0,0,0,0,1,0,0
22,15,6,0.0067650131637717,0.0009076305405797,0,55.772036003717844,0,0,0,0,1,0,0
23,57,54,0.0087314152405458,0.0005943285828432,0,37.84531014537997,0,0,0,0,1,0,0
24,51,35,0.0598976232946935,0.0040771018887181,0,37.84531014537997,0,0,0,0,1,0,0
25,16,17,0.0051252398762785,0.0003488640121311,0,37.84531014537997,0,0,0,0,1,0,0
26,76,66,0.007655150162244,0.0005210695427988,0,37.84531014537997,0,0,0,0,1,0,0
27,16,5,0.0162950154699104,0.0011091665193825,0,37.84531014537997,0,0,0,0,1,0,0
