-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2023 through 12/31/2023 in LST
Location: Latitude  9.99   Longitude 99.84 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2.7 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M
2023,1,1,0,0.0,26.74,76.2
2023,1,1,1,0.0,26.77,75.71
2023,1,1,2,0.0,26.83,75.04
2023,1,1,3,0.0,26.92,74.22
2023,1,1,4,0.0,27.06,73.13
2023,1,1,5,0.0,27.21,71.98
2023,1,1,6,3.5,27.37,71.07
2023,1,1,7,79.28,27.55,70.41
2023,1,1,8,242.88,27.68,70.27
2023,1,1,9,424.02,27.62,71.06
2023,1,1,10,574.75,27.36,72.93
2023,1,1,11,639.05,27.07,74.73
2023,1,1,12,651.53,26.87,75.46
2023,1,1,13,638.38,26.8,75.09
2023,1,1,14,566.05,26.78,74.57
2023,1,1,15,440.88,26.76,74.17
2023,1,1,16,245.38,26.73,74.04
2023,1,1,17,73.75,26.66,74.24
2023,1,1,18,0.0,26.61,74.38
2023,1,1,19,0.0,26.64,74.03
2023,1,1,20,0.0,26.73,73.29
2023,1,1,21,0.0,26.81,72.47
2023,1,1,22,0.0,26.86,71.77
2023,1,1,23,0.0,26.89,71.35
2023,1,2,0,0.0,26.89,71.19
2023,1,2,1,0.0,26.87,71.31
2023,1,2,2,0.0,26.85,71.77
2023,1,2,3,0.0,26.86,72.39
2023,1,2,4,0.0,26.92,72.81
2023,1,2,5,0.0,27.0,72.92
2023,1,2,6,3.4,27.09,72.83
2023,1,2,7,93.12,27.21,72.59
2023,1,2,8,268.98,27.33,72.31
2023,1,2,9,434.55,27.37,72.48
2023,1,2,10,484.15,27.36,72.96
2023,1,2,11,616.55,27.28,73.75
2023,1,2,12,740.78,27.18,74.44
2023,1,2,13,658.88,27.05,75.26
2023,1,2,14,571.35,26.95,75.79
2023,1,2,15,425.4,26.88,76.21
2023,1,2,16,248.62,26.86,76.3
2023,1,2,17,75.4,26.87,76.26
2023,1,2,18,0.0,26.86,76.17
2023,1,2,19,0.0,26.85,76.18
2023,1,2,20,0.0,26.83,76.37
2023,1,2,21,0.0,26.81,76.58
2023,1,2,22,0.0,26.78,77.17
2023,1,2,23,0.0,26.71,78.14
2023,1,3,0,0.0,26.64,79.2
2023,1,3,1,0.0,26.56,80.38
2023,1,3,2,0.0,26.51,81.53
2023,1,3,3,0.0,26.44,82.66
2023,1,3,4,0.0,26.43,83.26
2023,1,3,5,0.0,26.46,83.42
2023,1,3,6,2.62,26.55,83.2
2023,1,3,7,82.32,26.74,82.42
2023,1,3,8,247.23,26.97,81.11
2023,1,3,9,413.83,27.22,79.47
2023,1,3,10,547.35,27.37,78.14
2023,1,3,11,682.38,27.44,77.38
2023,1,3,12,678.9,27.39,77.5
2023,1,3,13,553.28,27.27,78.24
2023,1,3,14,502.45,27.12,79.14
2023,1,3,15,366.77,27.0,79.8
2023,1,3,16,227.18,26.9,80.36
2023,1,3,17,74.82,26.83,80.73
2023,1,3,18,0.0,26.78,80.98
2023,1,3,19,0.0,26.79,81.0
2023,1,3,20,0.0,26.83,80.86
2023,1,3,21,0.0,26.88,80.66
2023,1,3,22,0.0,26.89,80.61
2023,1,3,23,0.0,26.92,80.44
2023,1,4,0,0.0,26.94,80.31
2023,1,4,1,0.0,26.94,80.48
2023,1,4,2,0.0,26.94,80.84
2023,1,4,3,0.0,26.92,81.46
2023,1,4,4,0.0,26.91,81.96
2023,1,4,5,0.0,26.97,81.84
2023,1,4,6,0.0,27.07,81.04
2023,1,4,7,63.83,27.18,80.25
2023,1,4,8,174.68,27.31,79.3
2023,1,4,9,314.9,27.41,78.51
2023,1,4,10,382.98,27.46,78.05
2023,1,4,11,443.25,27.47,77.79
2023,1,4,12,539.25,27.47,77.46
2023,1,4,13,474.7,27.44,77.04
2023,1,4,14,395.5,27.39,76.64
2023,1,4,15,304.92,27.3,76.49
2023,1,4,16,179.88,27.17,76.82
2023,1,4,17,64.32,27.09,77.18
2023,1,4,18,0.0,27.07,77.36
2023,1,4,19,0.0,27.12,77.24
2023,1,4,20,0.0,27.2,76.9
2023,1,4,21,0.0,27.27,76.48
2023,1,4,22,0.0,27.32,75.94
2023,1,4,23,0.0,27.35,75.42
2023,1,5,0,0.0,27.39,75.13
2023,1,5,1,0.0,27.4,75.23
2023,1,5,2,0.0,27.39,75.55
2023,1,5,3,0.0,27.4,76.14
2023,1,5,4,0.0,27.45,76.91
2023,1,5,5,0.0,27.53,77.69
2023,1,5,6,0.0,27.6,78.54
2023,1,5,7,88.15,27.71,79.07
2023,1,5,8,247.77,27.84,78.78
2023,1,5,9,418.55,27.97,77.87
2023,1,5,10,531.33,28.01,77.0
2023,1,5,11,679.35,27.87,76.7
2023,1,5,12,729.62,27.67,76.24
2023,1,5,13,682.33,27.48,76.15
2023,1,5,14,573.05,27.33,76.32
2023,1,5,15,426.88,27.24,76.58
2023,1,5,16,238.38,27.22,76.77
2023,1,5,17,73.5,27.24,76.94
2023,1,5,18,0.0,27.25,77.13
2023,1,5,19,0.0,27.31,77.09
2023,1,5,20,0.0,27.37,77.04
2023,1,5,21,0.0,27.41,76.87
2023,1,5,22,0.0,27.4,76.55
2023,1,5,23,0.0,27.39,76.04
2023,1,6,0,0.0,27.34,75.87
2023,1,6,1,0.0,27.31,75.92
2023,1,6,2,0.0,27.3,76.02
2023,1,6,3,0.0,27.3,76.26
2023,1,6,4,0.0,27.33,76.96
2023,1,6,5,0.0,27.35,78.24
2023,1,6,6,0.0,27.33,79.77
2023,1,6,7,80.97,27.37,80.59
2023,1,6,8,231.27,27.43,80.56
2023,1,6,9,381.17,27.48,80.11
2023,1,6,10,453.48,27.52,79.44
2023,1,6,11,575.7,27.53,78.72
2023,1,6,12,647.15,27.51,77.85
2023,1,6,13,633.72,27.34,77.74
2023,1,6,14,526.53,27.06,78.52
2023,1,6,15,380.0,26.84,79.24
2023,1,6,16,215.7,26.77,79.13
2023,1,6,17,71.45,26.81,78.4
2023,1,6,18,0.0,26.88,77.49
2023,1,6,19,0.0,26.99,76.6
2023,1,6,20,0.0,27.09,76.11
2023,1,6,21,0.0,27.17,76.0
2023,1,6,22,0.0,27.25,76.09
2023,1,6,23,0.0,27.35,76.0
2023,1,7,0,0.0,27.47,75.73
2023,1,7,1,0.0,27.56,75.39
2023,1,7,2,0.0,27.56,75.67
2023,1,7,3,0.0,27.5,76.27
2023,1,7,4,0.0,27.34,76.54
2023,1,7,5,0.0,27.03,76.64
2023,1,7,6,0.0,26.68,76.89
2023,1,7,7,41.78,26.41,77.31
2023,1,7,8,113.95,26.3,77.33
2023,1,7,9,205.23,26.28,76.98
2023,1,7,10,296.85,26.26,76.77
2023,1,7,11,376.73,26.22,76.97
2023,1,7,12,431.0,26.15,77.41
2023,1,7,13,352.52,26.03,78.22
2023,1,7,14,325.1,25.9,79.28
2023,1,7,15,255.62,25.79,80.3
2023,1,7,16,143.62,25.7,81.27
2023,1,7,17,50.38,25.59,82.42
2023,1,7,18,0.0,25.54,83.25
2023,1,7,19,0.0,25.54,83.9
2023,1,7,20,0.0,25.54,84.45
2023,1,7,21,0.0,25.54,84.77
2023,1,7,22,0.0,25.58,84.57
2023,1,7,23,0.0,25.57,84.44
2023,1,8,0,0.0,25.47,84.77
2023,1,8,1,0.0,25.36,85.31
2023,1,8,2,0.0,25.31,85.55
2023,1,8,3,0.0,25.31,85.77
2023,1,8,4,0.0,25.36,85.97
2023,1,8,5,0.0,25.43,86.02
2023,1,8,6,0.0,25.52,85.8
2023,1,8,7,42.58,25.68,85.1
2023,1,8,8,121.78,25.92,83.92
