meter_id,lat,lon,utm_x,utm_y,node_type,usage_type,meter_size,tariff_code,phase_conn,phase_id,peak_load_kw,has_solar,solar_kw,has_ev,transformer_id,dist_m,line_R,line_X,v_actual,v_drop_pct,building_name,building_code
UTCC-1000,13.779549051276138,100.56104491161344,668756.5483036115,1523893.4173356507,Building,Commercial,3-Phase / CT,3.2,3-Phase,ABC,150.0,False,0.0,False,13,75.8,0.0243,0.0212,207.5,9.8,Building 7 UTCC,B7-01
UTCC-1001,13.780009554299232,100.55993912199499,668636.6502269068,1523943.5867654837,Building,Commercial,3-Phase / CT,3.2,3-Phase,ABC,150.0,False,0.0,False,3,40.74,0.013,0.0114,217.9,5.25,Auditorium,AUD-01
UTCC-1002,13.780563699022823,100.55979168258277,668620.3101893545,1524004.7881852065,Building,Commercial,3-Phase / CT,3.2,3-Phase,ABC,150.0,False,0.0,False,3,30.08,0.0096,0.0084,221.1,3.88,อาคาร 8 Car Parking,B8-CP
UTCC-1003,13.778852532062972,100.56028570977152,668674.9566980817,1523815.8289222568,Building,Commercial,3-Phase / CT,3.2,3-Phase,ABC,150.0,False,0.0,False,13,73.44,0.0235,0.0206,208.2,9.49,Harbour.Space @UTCC Institute,HS-01
UTCC-1004,13.779269009437897,100.56059080415079,668707.6472797286,1523862.1177194098,Building,Commercial,3-Phase / CT,3.2,3-Phase,ABC,150.0,True,27.1,False,13,59.99,0.0192,0.0168,212.2,7.75,Building 3 UTCC,B3-01
UTCC-1005,13.779816738481028,100.56116389368897,668769.2214405839,1523923.1150035197,Building,Commercial,3-Phase / CT,3.2,3-Phase,ABC,150.0,False,0.0,False,17,70.67,0.0226,0.0198,209.0,9.13,Building 23,B23-01
UTCC-1006,13.780211199404327,100.56131870611279,668785.6777698413,1523966.8627741183,Building,Commercial,3-Phase / CT,3.2,3-Phase,ABC,150.0,False,0.0,False,17,53.23,0.017,0.0149,214.2,6.87,Building 22,B22-01
UTCC-1007,13.780380525045983,100.56101905462938,668753.1553221921,1523985.3848734174,Building,Commercial,3-Phase / CT,3.2,3-Phase,ABC,150.0,False,0.0,False,17,17.38,0.0056,0.0049,224.8,2.26,Building 21,B21-01
UTCC-1008,13.780905404413652,100.56061178586924,668708.7411769937,1524043.1662820461,Building,Commercial,3-Phase / CT,3.2,3-Phase,ABC,150.0,False,0.0,False,17,63.81,0.0204,0.0179,211.0,8.24,Building 5,B5-01
UTCC-1009,13.782891081236906,100.56218496380055,668877.418754332,1524263.9457636506,Building,Commercial,3-Phase / CT,3.2,3-Phase,ABC,150.0,True,119.86,False,7,33.67,0.0108,0.0094,220.0,4.35,,
UTCC-1010,13.778507691208008,100.56016297966637,668661.9334899484,1523777.5932105468,Building,Commercial,3-Phase 30(100) A,3.1,3-Phase,ABC,66.0,False,0.0,False,1,67.02,0.0214,0.0188,221.2,3.81,,
UTCC-1011,13.778500652680902,100.56041911405428,668689.6341453941,1523776.9942161662,Building,Commercial,3-Phase 30(100) A,3.1,3-Phase,ABC,66.0,False,0.0,False,6,58.8,0.0188,0.0165,222.3,3.34,,
UTCC-1012,13.778362841709646,100.56161093483622,668818.6037939752,1523762.5846659103,Building,Commercial,3-Phase / CT,3.2,3-Phase,ABC,150.0,False,0.0,False,14,83.73,0.0268,0.0234,205.1,10.81,,
UTCC-1013,13.77797321178153,100.55899582088209,668536.1128717535,1523717.6456002905,Building,Commercial,3-Phase 30(100) A,3.1,3-Phase,ABC,66.0,False,0.0,False,15,38.37,0.0123,0.0107,225.0,2.18,,
UTCC-1014,13.781876221632345,100.56173660944157,668829.6686847549,1524151.3571599375,Building,Commercial,3-Phase 30(100) A,3.1,3-Phase,ABC,66.0,False,0.0,False,7,88.76,0.0284,0.0249,218.4,5.05,,
UTCC-1015,13.777512849984776,100.5606342000027,668713.6003046082,1523667.8648463984,Building,Commercial,3-Phase / CT,3.2,3-Phase,ABC,150.0,False,0.0,False,6,57.09,0.0183,0.016,213.0,7.39,,
UTCC-1016,13.777466660324949,100.56084278162531,668736.1873260888,1523662.9012498911,Building,Commercial,3-Phase / CT,3.2,3-Phase,ABC,150.0,False,0.0,False,14,50.8,0.0163,0.0142,214.9,6.57,,
UTCC-1017,13.778042535713375,100.55684768132016,668303.7863467777,1523723.8103195184,Building,Commercial,3-Phase / CT,3.2,3-Phase,ABC,150.0,False,0.0,False,18,83.53,0.0267,0.0234,205.2,10.78,,
UTCC-1018,13.778572844562923,100.55731406449917,668353.8361367333,1523782.8046026346,Building,Commercial,3-Phase / CT,3.2,3-Phase,ABC,150.0,True,108.52,False,8,53.46,0.0171,0.015,214.1,6.91,,
UTCC-1019,13.77770298265681,100.55974634966157,668617.4609616405,1523688.2764146596,Building,Commercial,3-Phase / CT,3.2,3-Phase,ABC,150.0,True,49.24,False,1,32.83,0.0105,0.0092,220.2,4.24,,
UTCC-1020,13.777493450006482,100.55979705000067,668623.0934921105,1523665.1314504414,Building,Commercial,3-Phase / CT,3.2,3-Phase,ABC,150.0,False,0.0,False,1,52.76,0.0169,0.0148,214.3,6.82,,
UTCC-1021,13.777397268007395,100.55960621961084,668602.5280683055,1523654.3570683382,Building,Commercial,3-Phase / CT,3.2,3-Phase,ABC,150.0,False,0.0,False,15,56.37,0.018,0.0158,213.3,7.27,,
UTCC-1022,13.777434689928901,100.55914343877133,668552.4608984261,1523658.1726192236,Building,Commercial,3-Phase 30(100) A,3.1,3-Phase,ABC,66.0,True,10.75,False,15,25.93,0.0083,0.0073,226.6,1.48,,
UTCC-1023,13.777516770413479,100.5591608962555,668554.2897067462,1523667.2653853975,Building,Commercial,3-Phase 30(100) A,3.1,3-Phase,ABC,66.0,False,0.0,False,15,16.75,0.0054,0.0047,227.8,0.96,,
UTCC-1024,13.777668496408914,100.55915502072948,668553.5455796344,1523684.046650745,Building,Commercial,3-Phase / CT,3.2,3-Phase,ABC,150.0,False,0.0,False,15,1.04,0.0003,0.0003,229.7,0.13,,
UTCC-1025,13.777641590898519,100.55930321796153,668569.5893730249,1523681.1739871663,Building,Commercial,3-Phase 30(100) A,3.1,3-Phase,ABC,66.0,False,0.0,False,15,15.27,0.0049,0.0043,228.0,0.87,,
UTCC-1026,13.77776495853189,100.55943864485509,668584.1445326161,1523694.9170376915,Building,Commercial,3-Phase 30(100) A,3.1,3-Phase,ABC,66.0,False,0.0,False,15,31.5,0.0101,0.0088,225.9,1.79,,
UTCC-1027,13.777636570278744,100.55944298361057,668584.7057702069,1523680.7165386365,Building,Commercial,3-Phase 30(100) A,3.1,3-Phase,ABC,66.0,False,0.0,False,15,30.3,0.0097,0.0085,226.0,1.72,,
UTCC-1028,13.777445672201475,100.55931610621539,668571.1234893138,1523659.5086166454,Building,Commercial,3-Phase 30(100) A,3.1,3-Phase,ABC,66.0,True,13.74,False,15,29.56,0.0095,0.0083,226.1,1.69,,
UTCC-1029,13.777428146782361,100.56011763091772,668657.8046513159,1523658.1317995938,Building,Commercial,3-Phase / CT,3.2,3-Phase,ABC,150.0,True,29.38,False,1,63.44,0.0203,0.0178,211.1,8.2,,
UTCC-1030,13.777580226025096,100.56012692431925,668658.7004142454,1523674.9627877527,Building,Commercial,3-Phase / CT,3.2,3-Phase,ABC,150.0,False,0.0,False,1,48.76,0.0156,0.0137,215.5,6.3,,
UTCC-1031,13.77771078325757,100.56004421779616,668649.6637088015,1523689.3482790664,Building,Commercial,3-Phase 30(100) A,3.1,3-Phase,ABC,66.0,False,0.0,False,1,31.77,0.0102,0.0089,225.8,1.81,,
UTCC-1032,13.777788693740614,100.560041145191,668649.2755642137,1523697.9653317628,Building,Commercial,3-Phase 30(100) A,3.1,3-Phase,ABC,66.0,False,0.0,False,1,24.46,0.0078,0.0068,226.8,1.38,,
