transformer_id,lat,lon,agg_peak_kw,required_kva,installed_kva,utilization,meter_count
0,13.781765958865302,100.56057804082945,892.8,1050.35,1250,84.0,8
1,13.77795997993839,100.55989814035311,2097.6,2467.76,1500,164.5,27
2,13.778340101196179,100.56240791900696,1939.2,2281.41,1500,152.1,24
3,13.780303224727998,100.55971181002072,652.8,768.0,1000,76.8,6
4,13.777871084397939,100.55839618364303,1963.2,2309.65,1500,154.0,27
5,13.777716408988972,100.5621857017646,2160.0,2541.18,1500,169.4,32
6,13.77802781809556,100.5606674562782,1646.4,1936.94,1500,129.1,21
7,13.782621493625728,100.56204051245624,451.2,530.82,1000,53.1,6
8,13.778498686757676,100.55780256428706,1036.8,1219.76,1250,97.6,12
9,13.781208561983595,100.55877330451592,480.0,564.71,1000,56.5,4
10,13.78285503187285,100.56031462116228,720.0,847.06,1000,84.7,6
11,13.779447804757966,100.56229997755595,465.6,547.76,1000,54.8,5
12,13.778931472216549,100.55943703660377,1171.2,1377.88,1500,91.9,12
13,13.778868399436496,100.5609646982021,1238.4,1456.94,1500,97.1,12
14,13.777692291329789,100.56125194912704,1219.2,1434.35,1500,95.6,18
15,13.77766814282689,100.55916466836607,1128.0,1327.06,1500,88.5,15
16,13.780069363075013,100.55771762326967,120.0,141.18,160,88.2,1
17,13.780381370547463,100.5608582923201,960.0,1129.41,1250,90.4,8
18,13.777767942517098,100.55756731228848,931.2,1095.53,1250,87.6,10
19,13.781149937897545,100.5598467381406,532.8,626.82,1000,62.7,5
20,13.782064399803412,100.55909920688744,292.8,344.47,500,68.9,3
21,13.779369449160887,100.55838650754878,480.0,564.71,1000,56.5,4
